record_type,business_id,name,city,state,latitude,longitude,neighborhood
location,d5_jPdP9ksiqlGgghU39aQ,"Carolina Sporting Arms","Charlotte",NC,35.126257,-80.877096,"Starmount"
location,qOqdQ_PuG8z9uTTImQC8Gg,"Roberto's Taco Shop","Las Vegas",NV,36.0718741,-115.2435575,"Spring Valley"
location,WHe3hGbAxo85c9K8Bm9NXQ,"Walmart Supercenter","Charlotte",NC,35.2947102,-80.7556509,"University City"
location,urEB5NNtzKE5WDuZBSczGQ,"Hunter's Edge","Las Vegas",NV,36.0051716,-115.2846113,"Southwest"
location,IeZboYxgqNePr3AouR8Bhw,"Game Stop at Fashion Show Mall","Las Vegas",NV,36.1274245,-115.170815,"The Strip"
location,wpZ1IOPtVQvFyMI6k4jS2g,"Puckett's Farm Equipment","Charlotte",NC,35.3004268,-80.8013816,"Derita"
location,3CFu82ImzHZsNhCihREN5g,"Community Family Doctors Ltd","Las Vegas",NV,36.152208,-115.202605,"Westside"
location,o3LQEzYHSYyY31PZ26yKwg,"Sovereign Realty","Las Vegas",NV,36.2716323,-115.2646279,"Centennial"
location,SgCKOeQor3PkXW1QWIHeHA,"La Cocina","Las Vegas",NV,36.055269,-115.171549,"Southeast"
location,Fl21jEU1D2m57FG8MXYflg,"La Coppa Gelato","Madison",WI,43.074578,-89.391498,"Capitol"
location,TmkysmHMgCnH0xAt2q79Ig,"Banfield Pet Hospital","Las Vegas",NV,36.0092932,-115.116849,"Anthem"
location,px45x27eir8RyN6YjX-VWQ,"Magnolia's Veranda","Las Vegas",NV,36.1703839974,-115.143929597,"Downtown"
location,88CNSyeoKhGn1x0SHvz8Ig,"Postrio","Las Vegas",NV,36.1214517,-115.1696112,"The Strip"
location,gMhbZgkF6G040yPEXlTBvQ,"Paradise Cafe","Las Vegas",NV,36.121194,-115.174078,"The Strip"
